Date,Open,High,Low,Close,Volume
2016-01-04,58.77,58.83,57.6,58.26,13521500
2016-01-05,58.79,58.79,57.98,58.65,9617800
2016-01-06,57.7,58.53,57.64,58.13,8266300
2016-01-07,56.88,57.91,56.16,56.69,11140900
2016-01-08,57.41,57.73,56.53,56.63,10427000
2016-01-11,57,58.12,56.78,57.82,10757300
2016-01-12,58.39,59.53,58.18,59.46,12375800
2016-01-13,59.8,60,57.8,57.87,11303600
2016-01-14,57.51,59.43,56.92,58.98,11444100
2016-01-15,57.07,58.39,56.75,58,15246100
2016-01-19,58.67,59.39,58.12,58.55,12289000
2016-01-20,57.57,57.96,54.94,56.92,22786400
2016-01-21,57.84,59.38,57.67,59.03,20888500
2016-01-22,57.55,59.4,57.41,59.17,32820200
2016-01-25,59.36,59.38,57.61,57.71,13554300
2016-01-26,57.92,58.87,57.8,58.61,8898100
2016-01-27,58.87,58.96,57.26,57.63,12491300
2016-01-28,58.29,59.42,58,59.29,11832400
2016-01-29,59.78,60.88,59.64,60.77,13224400
2016-02-01,60.66,61.79,60.27,61.4,9529100
2016-02-02,60.66,60.9,60.18,60.7,9407400
2016-02-03,60.88,61.13,58.5,59.53,12254500
2016-02-04,59.41,59.45,57.99,58.29,13944900
2016-02-05,58.1,58.2,54.25,54.49,24529000
2016-02-08,53.09,54.47,52.63,54.14,21457500
2016-02-09,53.19,55.29,53.17,54.42,11605100
2016-02-10,55.28,56.35,55.01,55.14,11663900
2016-02-11,53.89,55.39,53.55,54.92,12106100
2016-02-12,55.56,56.04,55.04,55.86,8680200
2016-02-16,56.79,56.85,55.98,56.41,11594800
2016-02-17,56.7,57.66,56.16,57.63,11955200
2016-02-18,57.57,57.57,56.67,56.96,8494000
2016-02-19,56.92,57.86,56.52,57.67,9033600
2016-02-22,58.63,58.95,58.17,58.87,8390700
2016-02-23,58.45,58.9,58,58.46,7064100
2016-02-24,57.21,58.35,56.28,58.11,10780900
2016-02-25,58.46,58.75,58,58.75,6262100
2016-02-26,59,59.21,57.92,58.34,7473400
2016-02-29,58.25,59.15,58.1,58.21,7645100
2016-03-01,58.77,60.2,58.5,60.04,9183600
2016-03-02,59.83,60,58.83,59.56,8856400
2016-03-03,59.12,59.2,58.2,59.04,8261900
2016-03-04,59.14,59.19,58.23,58.7,8344800
2016-03-07,58.44,58.67,57.31,58,9199100
2016-03-08,57.58,58.23,57.26,57.6,8127400
2016-03-09,57.78,57.97,56.79,57.07,9734600
2016-03-10,57.51,57.86,56.92,57.52,7014500
2016-03-11,58.1,58.1,56.57,57.59,15497600
2016-03-14,57.58,58.78,57.5,58.65,9053300
2016-03-15,58.32,59.16,58.17,59.08,7428500
2016-03-16,58.65,59.82,58.65,59.67,8069400
2016-03-17,59.47,59.98,59.37,59.55,7734700
2016-03-18,59.91,60.45,59.43,59.7,14313600
2016-03-21,59.56,59.86,59.02,59.1,6487200
2016-03-22,59,59.55,58.57,59.38,8246800
2016-03-23,59.14,59.4,58.69,58.83,5794500
2016-03-24,58.7,58.79,58.28,58.36,5948300
2016-03-28,58.56,59.47,58.4,58.96,5791600
2016-03-29,58.82,59.74,58.82,59.55,6031400
2016-03-30,60,60.26,59.51,60.01,5723500
2016-03-31,59.77,60.21,59.68,59.7,5622800
2016-04-01,59.61,61.17,59.41,61.02,9401100
2016-04-04,61.1,61.18,60.08,60.25,5799900
2016-04-05,59.88,60.23,59.44,60.04,4994800
2016-04-06,60.02,60.91,59.91,60.83,5667300
2016-04-07,60.59,61.54,60.54,61.17,8239200
2016-04-08,61.5,61.64,60.7,61.04,5064900
2016-04-11,61.22,61.5,60.78,60.9,6103400
2016-04-12,58.95,59.68,58.37,59.5,17565800
2016-04-13,60.32,61.08,59.75,60.21,9898500
2016-04-14,60.26,60.4,59.91,60.13,5157400
2016-04-15,60.24,60.62,60.01,60.51,5965300
2016-04-18,60.69,61.07,60.36,60.89,7228600
2016-04-19,61.16,61.25,60.48,60.9,7283600
2016-04-20,61.04,61.43,60.85,60.9,5558800
2016-04-21,60.9,61.1,60.48,60.64,12799100
2016-04-22,59.01,59.1,57.03,57.68,29836700
2016-04-25,57.62,57.96,57.58,57.77,8428000
2016-04-26,58.05,58.67,57.56,57.72,8839100
2016-04-27,57.51,57.65,56.62,56.9,12390800
2016-04-28,56.59,57.36,56.32,56.42,9196600
2016-04-29,56.02,56.43,55.29,56.23,12133400
2016-05-02,56.29,57.37,56.11,57.36,8616200
2016-05-03,56.7,57.06,56.14,56.25,7854300
2016-05-04,55.98,56.65,55.8,56.39,6508500
2016-05-05,56.37,56.77,56.01,56.25,6215400
2016-05-06,55.96,56.32,55.38,56.31,6378700
2016-05-09,56.32,56.93,56.23,56.64,5976200
2016-05-10,56.85,57.6,56.71,57.49,7931200
2016-05-11,57.13,57.39,56.09,56.23,8118900
2016-05-12,56.57,56.79,55.82,56.3,6870300
2016-05-13,56.43,56.6,55.73,55.82,5466000
2016-05-16,55.7,55.77,55.2,55.53,9536200
2016-05-17,55.38,55.64,54.51,54.88,10530000
2016-05-18,54.76,55.17,54.38,54.8,7455200
2016-05-19,54.43,54.62,54.19,54.55,7582800
